Name,Role,Location,Experience,Compensation,Status
Jayesh Chowdhury,Analyst,Bangalore,0-1,570000.0,N
Nirmala Verma,Senior Analyst,Bangalore,2-3,839893.0,Y
Alka Reddy,Analyst,Jaipur,0-1,570000.0,Y
Praveen Joshi,Senior Analyst,Bangalore,2-3,839782.0,Y
Anisha Chowdhury,Analyst,Jaipur,0-1,570000.0,Y
Prema Khanna,Associate,Bangalore,3-4,1254653.0,Y
Pritha Sinha,Associate,Bangalore,4-5,1336002.0,Y
Karthika Joshi,Analyst,Bangalore,0-1,570000.0,N
Kalyani Patel,Analyst,Bangalore,0-1,570000.0,N
Bindiya Pillai,Associate,Jaipur,4-5,1098051.0,Y
Annapurna Mehta,Analyst,Jaipur,0-1,570000.0,Y
Niraj Kumar,Senior Analyst,Bangalore,2-3,747748.0,N
Nila Patel,Senior Analyst,Bangalore,2-3,748140.0,Y
Bhanu Kapoor,Senior Analyst,Jaipur,2-3,842482.0,Y
Deepali Joshi,Senior Associate,Jaipur,0-1,1324501.875,Y
Poornima Mehta,Senior Analyst,Bangalore,2-3,738224.0,Y
Manju Kaur,Analyst,Bangalore,1-2,663969.0,Y
Rajesh Kapoor,Associate,Bangalore,4-5,1264754.0,Y
Kamala Kumar,Analyst,Bangalore,1-2,669187.0,Y
Reena Dhillon,Senior Associate,Bangalore,5-6,2452003.0,Y
Gayathri Kumar,Analyst,Pune,0-1,570000.0,N
Archana Reddy,Analyst,Jaipur,1-2,656199.0,Y
Devang Iyer,Senior Associate,Jaipur,0-1,1869885.0,Y
Rati Rao,Senior Associate,Bangalore,5-6,1915774.0,Y
Bala Verma,Senior Analyst,Jaipur,2-3,787635.0,Y
Atul Bhatia,Senior Analyst,Jaipur,2-3,764485.0,Y
Astha Banerjee,Senior Analyst,Jaipur,2-3,810920.0,Y
Hima Kaur,Senior Analyst,Pune,2-3,823326.0,Y
Aarya Reddy,Analyst,Jaipur,1-2,668855.0,Y
Ravi Bhatia,Senior Associate,Bangalore,6-7,2007027.0,Y
Jyoti Kaur,Analyst,Bangalore,0-1,570000.0,Y
Namrata Kulkarni,Analyst,Bangalore,1-2,694768.0,Y
Abhilasha Kapoor,Analyst,Jaipur,1-2,658651.0,Y
Anmol Dhillon,Analyst,Jaipur,1-2,682058.0,Y
Ajit Dhillon,Analyst,Jaipur,0-1,570000.0,Y
Nishita Kapoor,Senior Analyst,Bangalore,2-3,812000.0,N
Nitesh Nair,Senior Analyst,Bangalore,2-3,806381.0,Y
Arun Iyer,Senior Analyst,Jaipur,2-3,813200.0,Y
Arjun Joshi,Senior Analyst,Jaipur,1-2,723808.0,Y
Nitya Menon,Senior Analyst,Bangalore,1-2,789598.0,Y
Indira Kumar,Associate,Pune,3-4,907115.0,Y
Hrithik Gupta,Senior Analyst,Pune,1-2,886891.0,Y
Nalini Sinha,Analyst,Bangalore,0-1,570000.0,Y
Chandni Kaur,Associate,Jaipur,2-3,964851.0,N
Avinash Dhillon,Senior Analyst,Jaipur,2-3,765357.0,Y
Inderjit Patel,Associate,Pune,2-3,991402.0,Y
Rani Khanna,Manager,Bangalore,8-9,3079338.0,Y
Akash Gupta,Analyst,Jaipur,0-1,570000.0,Y
Anuj Sharma,Analyst,Jaipur,0-1,570000.0,Y
Punit Bhatia,Associate,Bangalore,4-5,1093366.0,N
Mehul Kumar,Analyst,Bangalore,1-2,679372.0,Y
Pratyush Kapoor,Senior Analyst,Bangalore,2-3,882835.0,Y
Harshita Chowdhury,Senior Analyst,Pune,2-3,844734.0,Y
Bhoomi Menon,Associate,Jaipur,2-3,974829.0,Y
Manish Chowdhury,Analyst,Bangalore,1-2,666771.0,Y
Lata Sharma,Analyst,Bangalore,0-1,570000.0,Y
Madhuri Nair,Analyst,Bangalore,0-1,570000.0,Y
Poonam Dhillon,Senior Analyst,Bangalore,2-3,780000.0,N
Anita Banerjee,Analyst,Jaipur,1-2,674629.0,Y
Prem Menon,Associate,Bangalore,2-3,1161030.0,Y
Ranjeet Kulkarni,Senior Associate,Bangalore,4-5,1744115.0,Y
Chinmay Gupta,Associate,Jaipur,3-4,968562.0,Y
Rahul Kumar,Associate,Bangalore,4-5,1107472.0,Y
Abhijeet Nair,Analyst,Jaipur,0-1,570000.0,Y
Chandan Bhatia,Associate,Jaipur,4-5,1096816.0,Y
Hiral Mehta,Senior Analyst,Pune,2-3,747378.0,N
Barkha Reddy,Senior Analyst,Jaipur,2-3,784515.0,Y
Radhika Sharma,Associate,Bangalore,4-5,1038994.0,Y
Akhil Sharma,Analyst,Jaipur,1-2,661872.0,Y
Ketan Pillai,Analyst,Bangalore,1-2,689119.0,N
Harini Khanna,Analyst,Pune,1-2,679122.0,Y
Jagadish Nair,Senior Associate,Pune,4-5,2119272.0,Y
Mohini Joshi,Analyst,Bangalore,1-2,675832.0,Y
Akshay Kumar,Analyst,Jaipur,1-2,677326.0,Y
Isha Singh,Associate,Pune,3-4,999847.0,Y
Abhay Singh,Analyst,Jaipur,1-2,667696.0,Y
Naina Khanna,Analyst,Bangalore,1-2,657556.0,Y
Anil Pillai,Analyst,Jaipur,1-2,666688.0,Y
Neeraj Dhillon,Senior Analyst,Bangalore,2-3,827191.0,Y
Lochana Singh,Analyst,Bangalore,0-1,570000.0,Y
Meena Sharma,Analyst,Bangalore,1-2,650999.0,Y
Nanda Pillai,Analyst,Bangalore,0-1,570000.0,Y
Manisha Banerjee,Analyst,Bangalore,0-1,570000.0,Y
Diya Rao,Analyst,Pune,0-1,570000.0,Y
Kirti Rao,Analyst,Bangalore,0-1,570000.0,N
Malati Khanna,Analyst,Bangalore,1-2,689746.0,Y
Kavya Menon,Analyst,Bangalore,1-2,652764.0,N
Agni Chowdhury,Analyst,Jaipur,1-2,668447.0,Y
Damini Verma,Manager,Jaipur,7-8,2910548.0,Y
Amitabh Menon,Analyst,Jaipur,1-2,695121.0,Y
Ishita Joshi,Associate,Pune,4-5,990176.0,Y
Drishti Bhatia,Analyst,Pune,1-2,665297.0,Y
Jayant Kulkarni,Analyst,Bangalore,0-1,570000.0,Y
Mayank Gupta,Analyst,Bangalore,0-1,570000.0,Y
Rakesh Menon,Manager,Bangalore,9-10,3287201.0,Y
Raj Verma,Associate,Bangalore,3-4,1479593.0,Y
Gita Kapoor,Analyst,Pune,0-1,570000.0,N
Pratibha Verma,Senior Analyst,Bangalore,1-2,866178.0,Y
Jitendra Bhatia,Analyst,Bangalore,1-2,693467.0,Y
Balraj Singh,Senior Analyst,Jaipur,2-3,739278.0,N
Dhaval Pillai,Analyst,Pune,1-2,688026.0,Y
Leela Kumar,Analyst,Bangalore,0-1,570000.0,N
Ahana Banerjee,Analyst,Jaipur,0-1,570000.0,Y
Mitra Singh,Analyst,Bangalore,0-1,570000.0,Y
Manav Pillai,Analyst,Bangalore,0-1,570000.0,Y
Ashok Chowdhury,Senior Analyst,Jaipur,1-2,831898.0,Y
Anjali Rao,Analyst,Jaipur,0-1,570000.0,Y
Anand Sinha,Analyst,Jaipur,1-2,675379.0,Y
Kamini Singh,Analyst,Bangalore,1-2,671736.0,Y
Pallavi Pillai,Senior Analyst,Bangalore,2-3,823585.0,Y
Kushan Dhillon,Analyst,Bangalore,1-2,699616.0,Y
Mahendra Iyer,Analyst,Bangalore,1-2,693026.0,Y
Rajat Reddy,Associate,Bangalore,3-4,1580928.0,Y
Jigar Rao,Analyst,Bangalore,0-1,570000.0,Y
Nikita Sharma,Senior Analyst,Bangalore,2-3,800000.0,N
Azad Kumar,Senior Analyst,Jaipur,1-2,874157.0,Y
Hema Banerjee,Senior Analyst,Pune,2-3,837838.0,Y
Dhanya Kulkarni,Analyst,Pune,0-1,570000.0,Y
Ranjana Sinha,Manager,Bangalore,9-10,2586435.0,Y
Ayush Patel,Senior Analyst,Jaipur,2-3,860479.0,Y
Mohan Kapoor,Analyst,Bangalore,0-1,570000.0,Y
Mukesh Nair,Analyst,Bangalore,0-1,570000.0,N
Chitrangada Patel,Associate,Jaipur,3-4,1023034.0,Y
Durga Kaur,Analyst,Pune,0-1,570000.0,Y
Megha Patel,Analyst,Bangalore,0-1,570000.0,Y
Ayesha Sharma,Senior Analyst,Jaipur,2-3,797979.0,Y
Arnav Nair,Senior Analyst,Jaipur,2-3,759937.0,Y
Gopal Nair,Analyst,Pune,0-1,570000.0,Y
Priyanka Chowdhury,Associate,Bangalore,3-4,1370487.0,Y
Divya Banerjee,Analyst,Pune,1-2,694789.0,Y
Purva Dhillon,Associate,Bangalore,3-4,1022523.0,Y
Bipin Chowdhury,Associate,Jaipur,3-4,950310.0,Y
Dhruv Chowdhury,Analyst,Pune,0-1,570000.0,Y
Prabhakar Gupta,Senior Analyst,Bangalore,2-3,878914.0,Y
Neha Mehta,Senior Analyst,Bangalore,2-3,803203.0,Y
Rajani Singh,Associate,Bangalore,4-5,1550000.0,Y
Prajwal Kumar,Senior Analyst,Bangalore,2-3,798506.0,Y
Rashmi Chowdhury,Senior Associate,Bangalore,6-7,2415447.0,Y
Gitanjali Joshi,Analyst,Pune,1-2,662617.0,Y
Manjari Rao,Analyst,Bangalore,1-2,685966.0,Y
Parvati Rao,Senior Analyst,Bangalore,2-3,766540.0,Y
Aanya Sharma,Analyst,Jaipur,1-2,684097.0,Y
Haritha Kulkarni,Senior Analyst,Pune,2-3,874620.0,Y
Pratik Singh,Senior Analyst,Bangalore,2-3,894749.0,Y
Mansi Dhillon,Analyst,Bangalore,0-1,570000.0,N
Abishek Menon,Analyst,Jaipur,0-1,570000.0,Y
Lalit Gupta,Analyst,Bangalore,1-2,688925.0,Y
Nutan Khanna,Senior Analyst,Bangalore,2-3,757860.0,N
Arushi Khanna,Senior Analyst,Jaipur,2-3,731274.0,Y
Ravindra Kaur,Senior Associate,Bangalore,4-5,2084629.0,Y
Amrita Khanna,Analyst,Jaipur,0-1,570000.0,Y
Neela Bhatia,Senior Analyst,Bangalore,2-3,781187.0,Y
Rajni Iyer,Associate,Bangalore,4-5,1100000.0,N
Rajiv Nair,Associate,Bangalore,4-5,1364647.0,Y
Ratan Banerjee,Senior Associate,Bangalore,4-5,2078123.0,Y
Ishani Kapoor,Associate,Pune,3-4,1011693.0,Y
Keshav Sinha,Analyst,Bangalore,1-2,660441.0,N
Priti Kulkarni,Associate,Bangalore,3-4,1171667.0,Y
Karan Reddy,Analyst,Bangalore,0-1,570000.0,Y
Bhavin Joshi,Senior Analyst,Jaipur,2-3,800808.0,Y
Ashish Pillai,Senior Analyst,Jaipur,2-3,808913.0,Y
Ankita Kaur,Analyst,Jaipur,0-1,570000.0,Y
Naresh Rao,Analyst,Bangalore,1-2,669647.0,Y
Raghu Patel,Associate,Bangalore,3-4,1279950.0,Y
Gayatri Verma,Analyst,Pune,1-2,667714.0,Y
Indrani Verma,Associate,Pune,4-5,1100000.0,N
Rhea Sharma,Senior Associate,Bangalore,6-7,1884348.0,Y
Anurag Kumar,Analyst,Jaipur,0-1,570000.0,Y
Atharv Rao,Senior Analyst,Jaipur,2-3,850060.0,N
Rachana Gupta,Associate,Bangalore,3-4,1150000.0,N
Alok Singh,Analyst,Jaipur,1-2,679088.0,Y
Ishaan Reddy,Associate,Pune,4-5,901372.0,Y
Harsha Pillai,Senior Analyst,Pune,2-3,743907.0,N
Deepa Reddy,Senior Associate,Jaipur,0-1,1324501.875,Y
Priya Pillai,Associate,Bangalore,4-5,1423630.0,Y
Nitin Iyer,Senior Analyst,Bangalore,2-3,822884.0,Y
Lakshmi Mehta,Analyst,Bangalore,0-1,570000.0,Y
Prutha Banerjee,Associate,Bangalore,4-5,1130975.0,Y
Kamal Verma,Analyst,Bangalore,0-1,570000.0,Y
Madhav Kapoor,Analyst,Bangalore,0-1,570000.0,Y
Ankit Bhatia,Analyst,Jaipur,1-2,682722.0,Y
Bijay Khanna,Associate,Jaipur,3-4,958924.0,Y
Kshitij Bhatia,Analyst,Bangalore,1-2,698795.0,Y
Nandini Chowdhury,Analyst,Bangalore,1-2,673115.0,Y
Ayaan Gupta,Senior Analyst,Jaipur,2-3,874505.0,Y
Pratima Reddy,Senior Analyst,Bangalore,2-3,757280.0,N
Pankaj Chowdhury,Senior Analyst,Bangalore,2-3,885800.0,Y
Madhu Joshi,Analyst,Bangalore,1-2,681109.0,Y
Mahima Menon,Analyst,Bangalore,0-1,570000.0,Y
Deepika Nair,Senior Associate,Jaipur,0-1,1542655.125,Y
Amit Nair,Analyst,Jaipur,1-2,669794.0,Y
Geetanjali Singh,Analyst,Pune,0-1,570000.0,Y
Puneet Rao,Associate,Bangalore,3-4,1502831.0,Y
Kedar Khanna,Analyst,Bangalore,0-1,570000.0,Y
Bhavna Nair,Senior Analyst,Jaipur,2-3,881213.0,Y
Mukul Menon,Analyst,Bangalore,0-1,570000.0,Y
Bikram Sinha,Associate,Jaipur,4-5,1020947.0,Y
Amita Iyer,Analyst,Jaipur,0-1,570000.0,Y
Amar Kapoor,Analyst,Jaipur,1-2,687204.0,Y
Aishwarya Rao,Analyst,Jaipur,1-2,696134.0,Y
Bhavya Iyer,Senior Analyst,Jaipur,2-3,807821.0,Y
Ajeet Kaur,Analyst,Jaipur,1-2,652519.0,Y
Kavita Iyer,Analyst,Bangalore,0-1,570000.0,Y
Preity Iyer,Senior Analyst,Bangalore,1-2,749271.0,Y
Avni Mehta,Senior Analyst,Jaipur,2-3,813458.0,Y
Abhiram Iyer,Analyst,Jaipur,1-2,695357.0,Y
Narain Banerjee,Analyst,Bangalore,0-1,570000.0,N
Asha Kulkarni,Senior Analyst,Jaipur,2-3,808047.0,Y
Deepak Kapoor,Senior Associate,Jaipur,0-1,1714061.2500000002,Y
Abhinav Joshi,Analyst,Jaipur,0-1,570000.0,Y
Advaita Kulkarni,Analyst,Jaipur,1-2,694539.0,Y
Ananya Kulkarni,Analyst,Jaipur,0-1,570000.0,Y
Hemant Rao,Senior Analyst,Pune,2-3,732142.0,Y
Chetan Dhillon,Associate,Jaipur,3-4,917419.0,Y
Dhairya Khanna,Senior Associate,Jaipur,0-1,1402413.75,Y
Pavan Bhatia,Senior Analyst,Bangalore,2-3,865555.0,N
Areen Kapoor,Analyst,Jaipur,0-1,570000.0,Y
Kabir Dhillon,Analyst,Bangalore,0-1,570000.0,N
Parul Banerjee,Senior Analyst,Bangalore,2-3,753470.0,Y
Ila Sharma,Senior Analyst,Pune,2-3,805979.0,Y
Manjeet Bhatia,Analyst,Bangalore,0-1,570000.0,Y
Aakash Patel,Analyst,Jaipur,0-1,570000.0,Y
Rekha Mehta,Senior Associate,Bangalore,6-7,2121197.0,Y
Prachi Sharma,Senior Analyst,Bangalore,2-3,816659.0,Y
Rashi Pillai,Senior Associate,Bangalore,5-6,2295146.0,Y
Aditya Sinha,Analyst,Jaipur,0-1,570000.0,Y
Avani Kaur,Senior Analyst,Jaipur,2-3,813559.0,Y
Padma Kulkarni,Senior Analyst,Bangalore,2-3,879923.0,Y
Aarav Gupta,Analyst,Jaipur,0-1,570000.0,Y
Harish Sinha,Analyst,Pune,0-1,570000.0,Y
Karthik Kapoor,Analyst,Bangalore,1-2,660243.0,Y
Maruti Mehta,Analyst,Bangalore,1-2,693416.0,Y
Fathima Sharma,Analyst,Pune,0-1,570000.0,Y
Nitara Joshi,Senior Analyst,Bangalore,2-3,754564.0,Y
Nikhil Gupta,Senior Analyst,Bangalore,2-3,856722.0,Y
Darshan Singh,Manager,Jaipur,8-9,3039209.0,Y
Purab Kaur,Associate,Bangalore,2-3,1137127.0,Y
Jaya Sinha,Analyst,Bangalore,1-2,657432.0,Y
Jayanti Pillai,Analyst,Bangalore,1-2,672615.0,Y
Gautam Patel,Analyst,Pune,1-2,686097.0,Y
Manas Sinha,Analyst,Bangalore,0-1,570000.0,N
Lavanya Patel,Analyst,Bangalore,1-2,659554.0,Y
Brinda Banerjee,Associate,Jaipur,4-5,1019658.0,Y
Arundhati Menon,Senior Analyst,Jaipur,2-3,841886.0,Y
Advika Pillai,Analyst,Jaipur,0-1,570000.0,Y
Akshara Patel,Analyst,Jaipur,0-1,570000.0,Y
Anuradha Patel,Analyst,Jaipur,1-2,654800.0,Y
Chaitanya Rao,Associate,Jaipur,3-4,1031403.0,Y
Nisha Singh,Senior Analyst,Bangalore,2-3,842589.0,Y
Neelam Kaur,Senior Analyst,Bangalore,2-3,771600.0,Y
Jhanvi Banerjee,Analyst,Bangalore,1-2,689961.0,Y
Aravind Singh,Analyst,Jaipur,0-1,570000.0,Y
Jaidev Khanna,Manager,Pune,8-9,2945176.0,Y
Chirag Sharma,Associate,Jaipur,4-5,1007064.0,Y
Dhanush Sinha,Senior Associate,Jaipur,0-1,1402413.75,Y
Mitali Reddy,Analyst,Bangalore,1-2,664724.0,Y
Ketaki Kulkarni,Analyst,Bangalore,0-1,570000.0,Y
Jahnavi Iyer,Senior Associate,Pune,5-6,1729701.0,Y
Pradnya Patel,Senior Analyst,Bangalore,2-3,882632.0,Y
Khushi Chowdhury,Analyst,Bangalore,0-1,570000.0,Y
Preethi Nair,Senior Analyst,Bangalore,2-3,828900.0,Y
Pushpa Mehta,Associate,Bangalore,4-5,1030381.0,Y
Ajay Bhatia,Analyst,Jaipur,0-1,570000.0,Y
